"finessGeoDP","annee","n"
"010780195",2021,83
"010780195",2022,63
"010780195",2023,79
"010780195",2024,72
"010780195",2025,31
"010780203",2021,83
"010780203",2022,101
"010780203",2023,121
"010780203",2024,92
"010780203",2025,48
"020000162",2021,64
"020000162",2022,62
"020000162",2023,57
"020000162",2024,58
"020000162",2025,49
"020000394",2021,43
"020000394",2022,53
"020000394",2023,35
"020000394",2024,47
"020000394",2025,20
"020000519",2021,21
"020000519",2022,55
"020000519",2023,53
"020000519",2024,66
"020000519",2025,35
"020010047",2021,81
"020010047",2022,86
"020010047",2023,56
"020010047",2024,67
"020010047",2025,40
"030781116",2021,63
"030781116",2022,44
"030781116",2023,59
"030781116",2024,59
"030781116",2025,28
"040000093",2021,14
"040000093",2022,34
"040000093",2023,37
"040000093",2024,25
"040000093",2025,15
"050000348",2021,52
"050000348",2022,48
"050000348",2023,31
"050000348",2024,51
"050000348",2025,19
"060000478",2021,37
"060000478",2022,28
"060000478",2023,34
"060000478",2024,25
"060000478",2025,9
"060000510",2021,119
"060000510",2022,107
"060000510",2023,78
"060000510",2024,88
"060000510",2025,36
"060021417",2021,77
"060021417",2022,74
"060021417",2023,92
"060021417",2024,83
"060021417",2025,40
"060780491",2021,92
"060780491",2022,88
"060780491",2023,62
"060780491",2024,96
"060780491",2025,68
"060780590",2021,79
"060780590",2022,60
"060780590",2023,33
"060780590",2024,51
"060780590",2025,13
"060780715",2021,84
"060780715",2022,69
"060780715",2023,71
"060780715",2024,42
"060780715",2025,60
"060789195",2021,195
"060789195",2022,221
"060789195",2023,188
"060789195",2024,110
"060789195",2025,41
"060800166",2021,34
"060800166",2022,33
"060800166",2023,32
"060800166",2024,10
"060800166",2025,5
"070780424",2021,114
"070780424",2022,119
"070780424",2023,91
"070780424",2024,85
"070780424",2025,57
"080010473",2021,135
"080010473",2022,121
"080010473",2023,119
"080010473",2024,111
"080010473",2025,52
"100000082",2021,107
"100000082",2022,46
"100000124",2021,103
"100000124",2022,161
"100000124",2023,127
"100000124",2024,76
"100000124",2025,61
"100010818",2021,24
"100010818",2022,48
"100010818",2023,100
"100010818",2024,91
"110000023",2021,103
"110000023",2022,103
"110000023",2023,106
"110000023",2024,89
"110000023",2025,79
"110000056",2021,45
"110000056",2022,51
"110000056",2023,35
"110000056",2024,41
"110000056",2025,18
"130000409",2021,36
"130000409",2022,56
"130000409",2023,49
"130000409",2024,32
"130000409",2025,25
"130001225",2021,57
"130001225",2022,74
"130001225",2023,58
"130001225",2024,48
"130001225",2025,28
"130043664",2021,281
"130043664",2022,209
"130043664",2023,204
"130043664",2024,222
"130043664",2025,139
"130780521",2021,73
"130780521",2022,51
"130780521",2023,70
"130780521",2024,100
"130780521",2025,48
"130781479",2021,136
"130781479",2022,148
"130781479",2023,144
"130781479",2024,142
"130781479",2025,79
"130782162",2021,121
"130782162",2022,117
"130782162",2023,98
"130782162",2024,86
"130782162",2025,64
"130783236",2021,125
"130783236",2022,128
"130783236",2023,115
"130783236",2024,48
"130783236",2025,18
"130783327",2021,164
"130783327",2022,230
"130783327",2023,224
"130783327",2024,248
"130783327",2025,148
"130784051",2021,75
"130784051",2022,48
"130784051",2023,53
"130784051",2024,16
"130785652",2021,100
"130785652",2022,95
"130785652",2023,99
"130785652",2024,103
"130785652",2025,50
"130786361",2021,262
"130786361",2022,263
"130786361",2023,274
"130786361",2024,270
"130786361",2025,149
"130786742",2021,41
"130786742",2022,34
"130786742",2023,46
"130786742",2024,41
"130786742",2025,24
"130810740",2021,158
"130810740",2022,145
"130810740",2023,141
"130810740",2024,120
"130810740",2025,73
"140000209",2021,177
"140000209",2022,201
"140000209",2023,189
"140000209",2024,95
"140000209",2025,48
"140000290",2021,52
"140000290",2022,49
"140016759",2021,153
"140016759",2022,140
"140016759",2023,101
"140016759",2024,88
"140016759",2025,57
"140017237",2021,49
"140017237",2022,51
"140017237",2023,44
"140017237",2024,61
"140017237",2025,36
"140018730",2022,1
"140018730",2023,39
"140018730",2024,59
"140018730",2025,20
"160000253",2021,49
"160000253",2022,33
"160000253",2023,51
"160000253",2024,43
"160000253",2025,20
"160013207",2021,83
"160013207",2022,78
"160013207",2023,94
"160013207",2024,89
"160013207",2025,53
"170000095",2021,60
"170000095",2022,58
"170000095",2023,50
"170000095",2024,43
"170000152",2021,155
"170000152",2022,127
"170000152",2023,92
"170000152",2024,120
"170000152",2025,46
"170780563",2021,51
"170780563",2022,46
"170780563",2023,65
"170780563",2024,65
"170780563",2025,32
"170780662",2021,45
"170780662",2022,23
"170780662",2023,50
"170780662",2024,53
"170780662",2025,16
"180004145",2021,84
"180004145",2022,79
"180004145",2023,63
"180004145",2024,37
"180004145",2025,28
"190013482",2021,39
"190013482",2022,35
"190013482",2023,43
"190013482",2024,41
"190013482",2025,12
"210012670",2021,267
"210012670",2022,238
"210012670",2023,202
"210012670",2024,209
"210012670",2025,122
"210780789",2021,174
"210780789",2022,145
"210780789",2023,108
"210780789",2024,114
"210780789",2025,45
"210987558",2021,50
"210987558",2022,10
"210987558",2023,40
"210987558",2024,31
